,weight
LLY,0.18678514499707904
COST,0.18678514499707904
XOM,0.15180974319454896
WMT,0.12474560906962621
NVDA,0.09987367381594173
ABBV,0.050000136785145
AVGO,0.050000136785145
BRK-B,0.050000136785145
KO,0.050000136785145
MRK,0.050000136785145
