Ticker,mean_daily_return
NVDA,0.002665313474713062
AVGO,0.00200470008811076
LLY,0.0015464473885594976
TSLA,0.0011803416708038258
META,0.0011212333906797838
GOOGL,0.00109276570135025
XOM,0.001080328065864099
COST,0.0010195641909381983
WMT,0.0009866074378527682
ABBV,0.0008572005733085983
AAPL,0.0008195783021985753
CVX,0.0007649694741946682
JPM,0.0007585940469157062
MRK,0.0006756902118492159
CSCO,0.0006557873095409139
BRK-B,0.0006235525724315478
MSFT,0.0005918378989356943
KO,0.0005490917746987097
HD,0.0005350167651040211
BAC,0.0005097981130949109
AMZN,0.0004941043415396998
JNJ,0.0004939340902686588
V,0.0004201245653756312
MA,0.0004075211725762929
PEP,0.00039995819274872167
PG,0.00037346678379489816
PFE,0.0001507190074256306
UNH,0.0001191905662143717
CRM,9.14211968515063e-05
ADBE,-0.00021456302652330487
