model,MAE,RMSE,MAPE
baseline_ma5,0.009306014026135328,0.012382439106660866,2.021146434828254
arima,0.009831782324143085,0.014056707622995886,1.086341578529811
linear,0.010316261800811802,0.01475495780027156,1.727647572850337
random_forest,0.011603111053658247,0.015948524183289608,2.274901528481494
baseline_naive,0.013364043127095888,0.01807583485635799,4.30022065493182
xgboost,0.014281834255155355,0.018431932799889764,3.394585998530411
