portfolio,sample,objective,ann_return,ann_vol,sharpe,mad,max_drawdown,turnover_rate,final_value
NSGA2_original,train,-1.473563,0.341964,0.217589,1.479691,2.377493,-0.287532,0.666667,173087.324076
EqualWeight,train,,0.206094,0.181766,1.023815,1.810555,-0.329590,0.000000,54647.504812
NSGA2_original,test,-1.473563,0.286297,0.129642,2.054097,1.554214,-0.074480,0.666667,13202.255259
EqualWeight,test,,0.271244,0.095681,2.625845,1.181754,-0.066627,0.000000,13054.535779
^GSPC,test,,0.259744,0.120606,1.987824,1.444665,-0.090975,0.000000,12870.776358
