run_id,iteration,best_sharpe,seed
0,0,1.553701,42
0,1,1.553701,42
0,2,1.553701,42
0,3,1.553701,42
0,4,1.553701,42
0,5,1.553701,42
0,6,1.553701,42
0,7,1.553701,42
0,8,1.553701,42
0,9,1.553701,42
0,10,1.553701,42
0,11,1.553701,42
0,12,1.553701,42
0,13,1.553701,42
0,14,1.553701,42
0,15,1.553701,42
0,16,1.553701,42
0,17,1.553701,42
0,18,1.553701,42
0,19,1.553701,42
0,20,1.553701,42
0,21,1.553701,42
0,22,1.553701,42
0,23,1.553701,42
0,24,1.553701,42
0,25,1.553701,42
0,26,1.553701,42
0,27,1.553701,42
0,28,1.553701,42
0,29,1.553701,42
0,30,1.553701,42
0,31,1.553701,42
0,32,1.553701,42
0,33,1.553701,42
0,34,1.553701,42
0,35,1.553701,42
0,36,1.553701,42
0,37,1.553701,42
0,38,1.553701,42
0,39,1.553701,42
0,40,1.553701,42
0,41,1.553701,42
0,42,1.553701,42
0,43,1.553701,42
0,44,1.553701,42
0,45,1.553701,42
0,46,1.553701,42
0,47,1.553701,42
0,48,1.553701,42
0,49,1.553701,42
0,50,1.553701,42
0,51,1.553701,42
0,52,1.553701,42
0,53,1.553701,42
0,54,1.553701,42
0,55,1.553701,42
0,56,1.553701,42
0,57,1.553701,42
0,58,1.553701,42
0,59,1.553701,42
0,60,1.553701,42
0,61,1.553701,42
0,62,1.553701,42
0,63,1.553701,42
0,64,1.553701,42
0,65,1.553701,42
0,66,1.553701,42
0,67,1.553701,42
0,68,1.553701,42
0,69,1.553701,42
0,70,1.553701,42
0,71,1.553701,42
0,72,1.553701,42
0,73,1.553701,42
0,74,1.553701,42
0,75,1.553701,42
0,76,1.553701,42
0,77,1.553701,42
0,78,1.553701,42
0,79,1.553701,42
0,80,1.553701,42
0,81,1.553701,42
0,82,1.553701,42
0,83,1.553701,42
0,84,1.553701,42
0,85,1.553701,42
0,86,1.553701,42
0,87,1.553701,42
0,88,1.553701,42
0,89,1.553701,42
0,90,1.553701,42
0,91,1.553701,42
0,92,1.553701,42
0,93,1.553701,42
0,94,1.553701,42
0,95,1.553701,42
0,96,1.553701,42
0,97,1.553701,42
0,98,1.553701,42
0,99,1.553701,42
0,100,1.553701,42
0,101,1.553701,42
0,102,1.553701,42
0,103,1.553701,42
0,104,1.553701,42
0,105,1.553701,42
0,106,1.553701,42
0,107,1.553701,42
0,108,1.553701,42
0,109,1.553701,42
0,110,1.553701,42
0,111,1.553701,42
0,112,1.553701,42
0,113,1.553701,42
0,114,1.553701,42
0,115,1.553701,42
0,116,1.553701,42
0,117,1.553701,42
0,118,1.553701,42
0,119,1.553701,42
0,120,1.553701,42
0,121,1.553701,42
0,122,1.553701,42
0,123,1.553701,42
0,124,1.553701,42
0,125,1.553701,42
0,126,1.553701,42
0,127,1.553701,42
0,128,1.553701,42
0,129,1.553701,42
0,130,1.553701,42
0,131,1.553701,42
0,132,1.553701,42
0,133,1.553701,42
0,134,1.553701,42
0,135,1.553701,42
0,136,1.553701,42
0,137,1.553701,42
0,138,1.553701,42
