Date,portfolio_value
2026-04-14,12325.737820
2026-04-15,12369.822340
2026-04-16,12384.485860
2026-04-17,12480.311541
2026-04-20,12432.741658
2026-04-21,12362.130402
2026-04-22,12402.303713
2026-04-23,12400.968840
2026-04-24,12361.702133
2026-04-27,12343.462853
2026-04-28,12322.857143
2026-04-29,12262.257076
2026-04-30,12522.021122
2026-05-01,12530.641983
2026-05-04,12494.262065
2026-05-05,12505.264093
