scenario,ann_return_test,ann_vol_test,sharpe_test,max_drawdown_test,top_sector_weight
PSO_original,0.231554,0.126016,1.678782,-0.073122,0.313131
PSO_with_sector_constraints,0.242842,0.123612,1.802755,-0.071639,0.340000
