iteration,run_0_sharpe,run_1_sharpe,run_2_sharpe
0,1.795773367451051,1.6731842129063683,1.5674716019837944
1,1.7964984340854184,1.7678528593726268,1.6089259551103101
2,1.8497110342939216,1.7850816963282723,1.7417059719805528
3,1.9122620218804056,1.818761491638224,1.7902812673201844
4,1.9441554296367258,1.8452057919827285,1.8305102632011752
5,1.9441554296367258,1.846456038305981,1.841381566197155
6,1.960316513133413,1.8571275317204983,1.8716534382738859
7,1.9673846015114016,1.8571275317204983,1.8784961109164047
8,1.9708895508314834,1.8734075756486361,1.8970981626344716
9,1.9708895508314834,1.9205458064175709,1.9388074505753452
10,1.9763617802209652,1.950191081422633,1.9457708836387835
11,1.98247976611176,1.9752306449927388,1.9644230331618455
12,1.9844401130510145,1.9752306449927388,1.9730217559334617
13,1.9855971171204718,1.978367403784408,1.982320592202575
14,1.9855971171204718,1.9829281535757262,1.994235779896162
15,1.9861148306992435,1.985834010336797,1.994240616719775
16,1.9861148306992435,1.9861610184972374,1.9942803794914343
17,1.9861148306992435,1.9864527243276184,1.9942803794914343
18,1.9861148306992435,1.9864527243276184,1.9942803794914343
19,1.9861287363605935,1.9865697406070177,1.9942803794914343
20,1.9861287363605935,1.9865697406070177,1.9942803794914343
21,1.9861474968539494,1.9865697406070177,1.9943586791013899
22,1.9861504600496056,1.9865697406070177,1.994358805637228
23,1.9861548177399329,1.9865697406070177,1.9944542663138023
24,1.9861887383612862,1.9867794093775635,1.9946844855586228
25,1.9861887383612862,1.9867794093775635,1.9949046214834083
26,1.986537617845939,1.9867794093775635,1.9952980970809078
27,1.9873515883928867,1.9867794093775635,1.9958991278971434
28,1.9884545681991288,1.9868267844843945,1.9970863192726813
29,1.9890545893970277,1.9868267844843945,1.9990996505537415
30,1.9900930192368105,1.9868267844843945,2.001065088234681
31,1.9900930192368105,1.9868267844843945,2.003604956524873
32,1.9901098981126442,1.9868267844843945,2.004893158008724
33,1.9902362330608374,1.9868267844843945,2.006242717785362
34,1.9902362330608374,1.9868267844843945,2.0069234783383423
35,1.9902894472912749,1.9868267844843945,2.006994030935391
36,1.9903584093278006,1.9868267844843945,2.006994030935391
37,1.9903584093278006,1.9868267844843945,2.007022141810555
38,1.9903684752652016,1.9868267844843945,2.007022141810555
39,1.9903779995067723,1.9868267844843945,2.007022141810555
40,1.9903779995067723,1.9868500386012284,2.007022141810555
41,1.9903779995067723,1.9868500386012284,2.007022141810555
42,1.9903779995067723,1.9868500386012284,2.007022141810555
